key,"am","ar","bn","de","en","es","fa","fr","hi","it","ja","ko","my","pt","ru","so","tr","uk","ur","zh"
photoCapture.description,"After the photo is taken, you'll jump straight to the product form.","After the photo is taken, you'll jump straight to the product form.","After the photo is taken, you'll jump straight to the product form.","Nach dem Foto gelangen Sie direkt zum Produktformular.","After the photo is taken, you'll jump straight to the product form.","Después de tomar la foto irás directamente al formulario del producto.","After the photo is taken, you'll jump straight to the product form.","Après la photo, vous serez dirigé vers le formulaire du produit.","After the photo is taken, you'll jump straight to the product form.","Dopo lo scatto verrai portato direttamente al modulo del prodotto.","写真撮影後、アイテム登録フォームに移動します。","After the photo is taken, you'll jump straight to the product form.","After the photo is taken, you'll jump straight to the product form.","Após a foto, você será levado ao formulário do produto.","После снимка вы перейдёте к форме товара.","After the photo is taken, you'll jump straight to the product form.","Fotoğraf çekildikten sonra bilgiler ekranına yönlendirileceksiniz.","Після фото ви перейдете до форми товару.",,
photoCapture.error,"Couldn't capture the photo. Please try again.","Couldn't capture the photo. Please try again.","Couldn't capture the photo. Please try again.","Foto konnte nicht aufgenommen werden. Bitte erneut versuchen.","Couldn't capture the photo. Please try again.","No se pudo tomar la foto. Inténtalo de nuevo.","Couldn't capture the photo. Please try again.","Impossible de capturer la photo. Veuillez réessayer.","Couldn't capture the photo. Please try again.","Impossibile scattare la foto. Riprova.","写真を取得できませんでした。もう一度お試しください。","Couldn't capture the photo. Please try again.","Couldn't capture the photo. Please try again.","Não foi possível tirar a foto. Tente novamente.","Не удалось сделать фото. Повторите попытку.","Couldn't capture the photo. Please try again.","Fotoğraf alınamadı. Lütfen tekrar deneyin.","Не вдалося зробити фото. Спробуйте ще раз.",,
photoCapture.helper,"Start by taking a clear photo of the item.","Start by taking a clear photo of the item.","Start by taking a clear photo of the item.","Beginnen Sie mit einem klaren Foto des Artikels.","Start by taking a clear photo of the item.","Comienza tomando una foto clara del artículo.","Start by taking a clear photo of the item.","Commencez par prendre une photo claire de l'article.","Start by taking a clear photo of the item.","Inizia scattando una foto chiara dell'articolo.","最初にアイテムの鮮明な写真を撮影してください。","Start by taking a clear photo of the item.","Start by taking a clear photo of the item.","Comece tirando uma foto clara do item.","Начните с чёткого фото предмета.","Start by taking a clear photo of the item.","Ürünü hızlıca kaydetmek için önce fotoğrafını çekin.","Почніть з чіткого фото предмета.",,
photoCapture.loading,"Processing the photo...","Processing the photo...","Processing the photo...","Foto wird verarbeitet...","Processing the photo...","Procesando la foto...","Processing the photo...","Traitement de la photo...","Processing the photo...","Elaborazione foto...","写真を処理しています...","Processing the photo...","Processing the photo...","Processando a foto...","Фото обрабатывается...","Processing the photo...","Fotoğraf hazırlanıyor...","Опрацювання фото...",,
photoCapture.title,"Capture Product Photo","Capture Product Photo","Capture Product Photo","Produktfoto aufnehmen","Capture Product Photo","Capturar Foto del Producto","Capture Product Photo","Capturer la photo du produit","Capture Product Photo","Scatta la foto del prodotto","アイテムの写真を撮影","Capture Product Photo","Capture Product Photo","Capturar foto do produto","Сделайте фото товара","Capture Product Photo","Ürün Fotoğrafı","Зняти фото товару",,
police.fire,"ፖሊስ / የእሳት መከላከያ: 112","الشرطة / الإطفاء: 112","পুলিশ / অগ্নিনির্বাপণ: 112","Polizei / Feuerwehr: 112","Police / Fire: 112","Policía / Bomberos: 112","پلیس / آتش‌نشانی: 112","Police / Pompiers : 112","पुलिस / अग्निशमन: 112","Polizia / Vigili del Fuoco: 112","警察 / 消防: 112","경찰 / 소방: 112","ရဲ / မီးသတ်: 112","Polícia / Bombeiros: 112","Полиция / Пожарная: 112","Boolis / Dagaal: 112","Polis / İtfaiye: 112","Поліція / Пожежна: 112","پولیس / فائر بریگیڈ: 112","警察 / 消防：112"
productDetail.delete.message,,,,,"Are you sure you want to delete this product?",,,,,,,,,,,,"Bu ürünü silmek istediğinizden emin misiniz?",,,
productDetail.delete.title,,,,,"Delete Product",,,,,,,,,,,,"Ürünü Sil",,,
productDetail.expiry.label,,,,,"Expiry Date",,,,,,,,,,,,"Son Kullanma Tarihi",,,
productDetail.expiry.remaining,,,,,"{days} days remaining",,,,,,,,,,,,"{days} gün kaldı",,,
productDetail.lastUpdated,,,,,"Last Updated",,,,,,,,,,,,"Son Güncelleme",,,
productDetail.location.empty,,,,,"No location details provided.",,,,,,,,,,,,"Konum bilgisi eklenmedi.",,,
productDetail.location.label,,,,,"Location Note",,,,,,,,,,,,"Konum Notu",,,
productDetail.notFound,,,,,"This product could not be found or may have been removed.",,,,,,,,,,,,"Bu ürün bulunamadı veya silinmiş olabilir.",,,
productDetail.notes.empty,,,,,"No notes have been added for this product.",,,,,,,,,,,,"Bu ürün için not eklenmedi.",,,
productDetail.notes.label,,,,,"Notes",,,,,,,,,,,,"Notlar",,,
productDetail.reminder.label,,,,,"Reminder Date",,,,,,,,,,,,"Hatırlatma Tarihi",,,
productDetail.title,,,,,"Product Details",,,,,,,,,,,,"Ürün Detayları",,,
products.add_image,"ምስል ጨምር","إضافة صورة","ছবি যোগ করুন","Bild hinzufügen","Add Image","Agregar Imagen","افزودن تصویر","Ajouter Image","छवि जोड़ें","Aggiungi Immagine","画像を追加","이미지 추가","ပုံထည့်ပါ","Adicionar Imagem","Добавить изображение","Ku dar Sawir","Resim Ekle","Додати зображення","تصویر شامل کریں","添加图像"
products.antiseptic_wipe,"ፀረ-ባክቴሪያ መጸዳጃ","مناديل مطهرة","অ্যান্টিসেপটিক ওয়াইপ","Antiseptisches Tuch","Antiseptic Wipe","Toallita Antiséptica","دستمال ضدعفونی‌کننده","Lingette Antiseptique","एंटीसेप्टिक वाइप","Salvietta Antisettica","消毒シート","소독 물티슈","ပိုးသတ်သုတ်စက်","Lenço Antisséptico","Антисептическая салфетка","Khaamidka Ka-hortagga","Antiseptik Mendil","Антисептичні серветки","اینٹی سیپٹک وائپ","消毒湿巾"
products.bandage,"ማሰሪያ","ضمادة الجروح","ব্যান্ডেজ","Verband","Bandage","Vendaje","باند","Bandage","पट्टी","Benda","包帯","붕대","အနာကပ်ပုံး","Bandagem","Бинт","Shaash","Yara Bandı","Бинт","پٹی","绷带"
products.canned_beans,"የቆርቆሮ ባቄላ","فاصوليا معلبة","ক্যানড বিনস","Bohnen in Dosen","Canned Beans","Frijoles Enlatados","لوبیا کنسروی","Haricots en Conserve","डिब्बाबंद फली","Fagioli in Scatola","缶詰豆","콩 통조림","ပဲပုံး","Feijão Enlatado","Консервированная фасоль","Digir Qudaar","Konserve Fasulye","Консерви квасолі","ڈبہ بند لوبیا","罐装豆子"
products.category,"ምድብ","الفئة","বিভাগ","Kategorie","Category","Categoría","دسته‌بندی","Catégorie","श्रेणी","Categoria","カテゴリ","카테고리","အမျိုးအစား","Categoria","Категория","Qeybta","Kategori","Категорія","زمرہ","类别"
products.empty.description,,,,,"Add your first product to start tracking emergency supplies.",,,,,,,,,,,,"Yeni bir ürün ekleyerek acil durum stoğunuzu oluşturmaya başlayın.",,,
products.empty.title,,,,,"No products yet",,,,,,,,,,,,"Henüz kayıtlı ürün yok",,,
products.energy_bar,"የሃይል ባር","قطعة طاقة","এনার্জি বার","Energieriegel","Energy Bar","Barra Energética","بار انرژی","Barre Énergétique","एनर्जी बार","Barretta Energetica","エナジーバー","에너지바","စွမ်းအင်ဘား","Barra Energética","Энергетический батончик","Bar Tamarta","Enerji Barı","Енергетичний батончик","انرجی بار","能量棒"
products.filter.category.all,,,,,"All categories",,,,,,,,,,,,"Tüm kategoriler",,,
products.filter.category.clear,,,,,"Clear selection",,,,,,,,,,,,"Seçimi temizle",,,
products.filter.category.title,,,,,"Choose category",,,,,,,,,,,,"Kategori seçimi",,,
products.filter.days.all,,,,,"All",,,,,,,,,,,,"Tümü",,,
products.filter.days.expired,,,,,"Expired",,,,,,,,,,,,"Süresi dolanlar",,,
products.filter.days.expiringSoon,,,,,"Expiring soon",,,,,,,,,,,,"Yakında bitecek",,,
products.filter.days.title,,,,,"Expiry filters",,,,,,,,,,,,"SKT filtreleri",,,
products.filter.name.az,,,,,"Name (A-Z)",,,,,,,,,,,,"Ad (A-Z)",,,
products.filter.name.za,,,,,"Name (Z-A)",,,,,,,,,,,,"Ad (Z-A)",,,
products.filter.reset,,,,,"Reset filters",,,,,,,,,,,,"Filtreleri sıfırla",,,
products.name,"ስም","الاسم","নাম","Name","Name","Nombre","نام","Nom","नाम","Nome","名前","이름","အမည်","Nome","Название","Magaca","Ad","Назва","نام","名称"
products.remaining_days,"የቀሩ ቀናት","الأيام المتبقية","বাকি দিন","Verbleibende Tage","Remaining Days","Días Restantes","روزهای باقی‌مانده","Jours Restants","शेष दिन","Giorni Rimanenti","残り日数","남은 일수","ကျန်ရှိရက်များ","Dias Restantes","Осталось дней","Maalmaha Hadhay","Kalan Gün","Залишилось днів","باقی دن","剩余天数"
products.search,"ምርቶችን ፈልግ","البحث عن المنتجات","পণ্য অনুসন্ধান","Produkte suchen","Search products","Buscar productos","جستجوی محصولات","Rechercher produits","उत्पाद खोजें","Cerca prodotti","製品を検索","제품 검색","ကုန်ပစ္စည်း ရှာဖွေပါ","Pesquisar produtos","Поиск товаров","Raadi Alaabooyin","Ürün ara","Пошук продуктів","مصنوعات تلاش کریں","搜索产品"
products.stock,"መጋዘን","المخزون","স্টক","Lager","Stock","Stock","موجودی","Stock","स्टॉक","Scorte","在庫","재고","စတော့","Estoque","Запас","Kaydi","Stok","Запас","اسٹاک","库存"
products.title,"ምርቶች","المنتجات","পণ্য","Produkte","Products","Productos","محصولات","Produits","उत्पाद","Prodotti","製品","제품","ကုန်ပစ္စည်းများ","Produtos","Товары","Alaabooyinka","Ürünler","Продукти","مصنوعات","产品"
products.vitamins,"ቪታሚኖች","فيتامينات","ভিটামিন","Vitamine","Vitamins","Vitaminas","ویتامین‌ها","Vitamines","विटामिन","Vitamine","ビタミン","비타민","ဗီတာမင်များ","Vitaminas","Витамины","Vitamiinnada","Vitaminler","Вітаміни","وٹامنز","维生素"
products.water,"ውሃ","ماء","জল","Wasser","Water","Agua","آب","Eau","पानी","Acqua","水","물","ရေ","Água","Вода","Biyo","Su","Вода","پانی","水"
reminder.date,"የማስታወሻ ቀን","تاريخ التذكير","রিমাইন্ডার তারিখ","Erinnerungsdatum","Reminder Date","Fecha de Recordatorio","تاریخ یادآوری","Date de Rappel","अनुस्मारक तिथि","Data Promemoria","リマインダー日","리마인더 날짜","အမှတ်ရရက်","Data de Lembrete","Дата напоминания","Taariikhda xusuusin","Hatırlatma Tarihi","Дата нагадування","یاد دہانی کی تاریخ","提醒日期"
safe,"ደህና ነው","آمن","নিরাপদ","Sicher","Safe","Seguro","امن","Sécurisé","सुरक्षित","Sicuro","安全","안전","ဘေးကင်းပါသည်","Seguro","Безопасно","Aamin","Güvenli","Безпечно","محفوظ","安全"
save,"አስቀምጥ","حفظ","সংরক্ষণ করুন","Speichern","Save","Guardar","ذخیره","Enregistrer","सहेजें","Salva","保存","저장","သိမ်းပါ","Salvar","Сохранить","Kaydi","Kaydet","Зберегти","محفوظ کریں","保存"
search,"ፈልግ...","بحث...","অনুসন্ধান করুন...","Suchen...","Search...","Buscar...","جستجو...","Rechercher...","खोजें...","Cerca...","検索...","검색...","ရှာဖွေပါ...","Pesquisar...","Поиск...","Raadi...","Ara...","Пошук...","تلاش کریں...","搜索..."
settings,"ቅንብሮች","الإعدادات","সেটিংস","Einstellungen","Settings","Ajustes","تنظیمات","Paramètres","सेटिंग्स","Impostazioni","設定","설정","ဆက်တင်များ","Configurações","Настройки","Dejinta","Ayarlar","Налаштування","ترتیبات","设置"
settings.app_info,"የአፕሊኬሽን መረጃ","معلومات التطبيق","অ্যাপ তথ্য","App-Informationen","App Information","Información de la App","اطلاعات اپلیکیشن","Informations App","ऐप की जानकारी","Informazioni App","アプリ情報","앱 정보","အက်ပ်လီကေးရှင်း အချက်အလက်",,"Информация о приложении","Macluumaadka App-ka","Uygulama Bilgileri","Інформація про додаток","ایپ کی معلومات","应用信息"
settings.appearance,"ገጽታ","المظهر","চেহারা","Erscheinungsbild","Appearance","Apariencia","ظاهر","Apparence","दिखावट","Aspetto","外観","외관","အသွင်အပြင်",,"Внешний вид","Muuqaalka","Görünüm","Зовнішній вигляд","ظاہری شکل","外观"
settings.backup_cancelled,,,,,"Backup cancelled.",,,,,,,,,,,,"Yedekleme iptal edildi.",,,
settings.backup_data,"መረጃ ምትኬ","نسخ احتياطي للبيانات","ডেটা ব্যাকআপ","Daten sichern","Backup Data","Respaldar Datos","پشتیبان‌گیری داده‌ها","Sauvegarder Données","डेटा बैकअप","Backup Dati","データバックアップ","데이터 백업","ဒေတာ လုံခြုံစွာ သိမ်းဆည်းပါ",,"Резервное копирование данных","Xogta Kaydka","Veri Yedekle","Резервне копіювання даних","ڈیٹا بیک اپ","备份数据"
settings.backup_error,,,,,"Backup failed. Please try again.",,,,,,,,,,,,"Yedekleme sırasında bir sorun oluştu. Lütfen tekrar deneyin.",,,
settings.backup_save_title,,,,,"Choose where to save the backup",,,,,,,,,,,,"Yedek dosyasını kaydet",,,
settings.backup_success,,,,,"Backup saved to {path}.",,,,,,,,,,,,"Yedek {path} dosyasına kaydedildi.",,,
settings.clear_sample_data,"የምሳሌ ውሂብ አጥፋ","مسح البيانات التجريبية","নমুনা ডেটা মুছুন","Beispieldaten löschen","Clear sample data","Borrar datos de ejemplo","پاک کردن داده نمونه","Effacer les données d'exemple","नमूना डेटा साफ़ करें","Cancella dati di esempio","サンプルデータをクリア","샘플 데이터 삭제","နမူနာဒေတာ ဖယ်ရှားရန်","Limpar dados de exemplo","Очистить пример данных","Nadiifi xogta tusaalaha","Örnek Verileri Temizle","Очистити приклад даних","نمونہ ڈیٹا صاف کریں","清除示例数据"
settings.dark_theme,"ጨለማ ገጽታ","المظهر الداكن","ডার্ক থিম","Dunkles Theme","Dark Theme","Tema Oscuro","تم تیره","Thème Sombre","डार्क थीम","Tema Scuro","ダークテーマ","다크 테마","မှောင်မိုက်သစ်",,"Тёмная тема","Dulanka Madow","Koyu Tema","Темна тема","ڈارک تھیم","深色主题"
settings.data_management,"የመረጃ አስተዳደር","إدارة البيانات","ডেটা ব্যবস্থাপনা","Datenverwaltung","Data Management","Gestión de Datos","مدیریت داده‌ها","Gestion des Données","डेटा प्रबंधन","Gestione Dati","データ管理","데이터 관리","ဒေတာ စီမံခန့်ခွဲမှု",,"Управление данными","Maamulka Xogta","Veri Yönetimi","Управління даними","ڈیٹا کا انتظام","数据管理"
settings.days_before_expiry,"የማለቂያ ቀን ከመጣ በፊት ስንት ቀናት","كم يوم قبل انتهاء الصلاحية","মেয়াদ শেষ হওয়ার কত দিন আগে","Wie viele Tage vor Ablauf","How many days before expiry","Cuántos días antes del vencimiento","چند روز قبل از انقضا","Combien de jours avant expiration","समाप्ति से कितने दिन पहले","Quanti giorni prima della scadenza","有効期限の何日前","만료 며칠 전","သက်တမ်းကုန်မည့် ရက်များအလိုတွင်",,"За сколько дней до истечения срока","Maalmaha ka hor dhamaadka","SKT'den kaç gün önce","Днів до закінчення терміну","مدت ختم ہونے سے کتنے دن پہلے","过期前多少天"
settings.emergency_alert,"የአስቸኳይ ማንቂያ","تنبيه الطوارئ","জরুরি সতর্কতা","Notfall-Alarm","Emergency Alert","Alerta de Emergencia","هشدار اضطراری","Alerte d'Urgence","आपातकालीन अलर्ट","Allarme Emergenza","緊急アラート","비상 알림","အရေးပေါ် သတိပေးချက်",,"Экстренное оповещение","Digniin Xaalad-dhaafka ah","Acil Durum Düdüğü","Екстрене сповіщення","ہنگامی الرٹ","紧急警报"
settings.general,"አጠቃላይ","عام","সাধারণ","ALLGEMEIN","GENERAL","GENERAL","عمومی","GÉNÉRAL","सामान्य","GENERALE","一般","일반","အထွေထွေ",,"ОБЩЕЕ","Guud","GENEL","Загальні","عام","通用"
settings.help_support,"እርዳታ እና ድጋፍ","المساعدة والدعم","সাহায্য ও সহায়তা","Hilfe & Support","Help & Support","Ayuda y Soporte","کمک و پشتیبانی","Aide & Support","सहायता और सहयोग","Aiuto e Supporto","ヘルプ＆サポート","도움말 & 지원","အကူအညီ နှင့် ပံ့ပိုးကူညီမှု",,"Помощь и поддержка","Caawinta & Taageerada","Yardım & Destek","Допомога та підтримка","مدد اور سپورٹ","帮助和支持"
settings.language,"ቋንቋ ምርጫ","اختيار اللغة","ভাষা নির্বাচন","Sprache auswählen","Language Selection","Selección de Idioma","انتخاب زبان","Sélection de Langue","भाषा चयन","Selezione Lingua","言語選択","언어 선택","ဘာသာစကားရွေးချယ်မှု",,"Выбор языка","Doorashada Luuqadda","Dil Seçimi","Вибір мови","زبان کا انتخاب","语言选择"
settings.load_sample_data,"የምሳሌ ውሂብ ጫን","تحميل بيانات تجريبية","নমুনা ডেটা লোড করুন","Beispieldaten laden","Load sample data","Cargar datos de ejemplo","بارگذاری داده نمونه","Charger les données d'exemple","नमूना डेटा लोड करें","Carica dati di esempio","サンプルデータを読み込む","샘플 데이터 불러오기","နမူနာဒေတာ ထည့်ရန်","Carregar dados de exemplo","Загрузить пример данных","Ku shub xog tusaale ah","Örnek Verileri Yükle","Завантажити приклад даних","نمونہ ڈیٹا لوڈ کریں","加载示例数据"
settings.location_access,"የሥፍራ መዳረሻ","الوصول للموقع","অবস্থান অ্যাক্সেস","Standortzugriff","Location Access","Acceso a Ubicación","دسترسی مکان","Accès Localisation","स्थान पहुंच","Accesso Posizione","位置情報アクセス","위치 접근","တည်နေရာ ရယူခွင့်",,"Доступ к местоположению","Gelinta Meesha","Konum Erişimi","Доступ до місцезнаходження","مقام تک رسائی","位置访问"
settings.manage_categories,"ምድቦችን አስተዳድር","إدارة الفئات","বিভাগ পরিচালনা","Kategorien verwalten","Manage Categories","Gestionar Categorías","مدیریت دسته‌بندی‌ها","Gérer Catégories","श्रेणियों का प्रबंधन","Gestisci Categorie","カテゴリ管理","카테고리 관리","အမျိုးအစားများ စီမံခန့်ခွဲပါ",,"Управление категориями","Maameegarka Qeybaha","Kategorileri Yönet","Управління категоріями","زمروں کا انتظام","管理类别"
settings.management,"አስተዳደር","الإدارة","ব্যবস্থাপনা","Verwaltung","Management","Gestión","مدیریت","Gestion","प्रबंधन","Gestione","管理","관리","စီမံခန့်ခွဲမှု",,"Управление","Maamulka","Yönetim","Управління","انتظام","管理"
settings.notification_sound,"የማሳወቂያ ድምጽ","صوت الإشعار","বিজ্ঞপ্তির শব্দ","Benachrichtigungston","Notification Sound","Sonido de Notificación","صدای اعلان","Son de Notification","सूचना ध्वनि","Suono Notifica","通知音","알림음","အသိပေးချက် အသံ",,"Звук уведомления","Codka Ogeysiiska","Bildirim Sesi","Звук сповіщення","اطلاع کی آواز","通知声音"
settings.notifications,"ማሳወቂያዎች","الإشعارات","বিজ্ঞপ্তি","Benachrichtigungen","Notifications","Notificaciones","اعلان‌ها","Notifications","सूचनाएं","Notifiche","通知","알림","အသိပေးချက်များ",,"Уведомления","Ogeysiisyada","Bildirimler","Сповіщення","اطلاعات","通知"
settings.permissions,"ፈቃዶች","الأذونات","অনুমতি","Berechtigungen","Permissions","Permisos","مجوزها","Permissions","अनुमतियां","Permessi","権限","권한","ခွင့်ပြုချက်များ",,"Разрешения","Ogolaanshaha","İzinler","Дозволи","اجازات","权限"
settings.privacy,"የግላዊነት ፖሊሲ","سياسة الخصوصية","গোপনীয়তা নীতি","Datenschutzerklärung","Privacy Policy","Política de Privacidad","سیاست حریم خصوصی","Politique de Confidentialité","गोपनीयता नीति","Politica Privacy","プライバシーポリシー","개인정보 보호정책","ကိုယ်ရေးကိုယ်တာ မူဝါဒ",,"Политика конфиденциальности","Siyaasadda Qarsoonda","Gizlilik Politikası","Політика конфіденційності","پرائیویسی پالیسی","隐私政策"
settings.restore_cancelled,,,,,"Restore cancelled.",,,,,,,,,,,,"Geri yükleme iptal edildi.",,,
settings.restore_data,"መረጃ መልሶ ማቋቋም","استعادة البيانات","ডেটা পুনরুদ্ধার","Daten wiederherstellen","Restore Data","Restaurar Datos","بازیابی داده‌ها","Restaurer Données","डेटा पुनर्स्थापना","Ripristina Dati","データ復元","데이터 복원","ဒေတာ ပြန်လည် ရယူပါ",,"Восстановление данных","Dib u soo celinta Xogta","Veri Geri Yükle","Відновлення даних","ڈیٹا بحالی","恢复数据"
settings.restore_error,,,,,"Something went wrong while restoring data.",,,,,,,,,,,,"Veri geri yükleme sırasında bir sorun oluştu.",,,
settings.restore_invalid,,,,,"Could not read the selected file. Please choose another backup.",,,,,,,,,,,,"Seçilen dosya okunamadı. Lütfen farklı bir yedek deneyin.",,,
settings.restore_missing,,,,,"No backup found. Please create one first.",,,,,,,,,,,,"Yedek bulunamadı. Önce bir yedek oluşturun.",,,
settings.restore_success,,,,,"Data restored successfully.",,,,,,,,,,,,"Veriler başarıyla geri yüklendi.",,,
settings.sample_data_cleared,"ውሂብ አጥፏል","تم مسح البيانات","ডেটা মুছে ফেলা হয়েছে","Daten gelöscht","Data cleared","Datos borrados","داده‌ها پاک شدند","Données effacées","डेटा साफ़ किया गया","Dati cancellati","データがクリアされました","데이터가 삭제되었습니다","ဒေတာ ဖျက်ပြီးပြီ","Dados limpos","Данные очищены","Xogta waa la nadiifiyey","Veriler temizlendi","Дані очищено","ڈیٹا صاف کر دیا گیا","数据已清除"
settings.sample_data_loaded,"የምሳሌ ውሂብ ተጫነ","تم تحميل البيانات التجريبية","নমুনা ডেটা লোড করা হয়েছে","Beispieldaten geladen","Sample data loaded","Datos de ejemplo cargados","داده نمونه بارگذاری شد","Données d'exemple chargées","नमूना डेटा लोड हो गया","Dati di esempio caricati","サンプルデータが読み込まれました","샘플 데이터가 로드되었습니다","နမူနာဒေတာ ထည့်ပြီးပြီ","Dados de exemplo carregados","Пример данных загружен","Xogta tusaalaha waa la shubay","Örnek veriler yüklendi","Приклад даних завантажено","نمونہ ڈیٹا لوڈ ہو گیا","示例数据已加载"
settings.show_product_images,"የምርት ምስሎችን አሳይ","إظهار صور المنتجات","পণ্যের ছবি দেখান","Produktbilder anzeigen","Show Product Images","Mostrar Imágenes de Productos","نمایش تصاویر محصولات","Afficher Images Produits","उत्पाद छवियां दिखाएं","Mostra Immagini Prodotti","製品画像を表示","제품 이미지 표시","ကုန်ပစ္စည်းပုံများ ပြပါ",,"Показывать изображения товаров","Tus Sawirrada Alaabooyinka","Ürün Resimlerini Göster","Показувати зображення продуктів","مصنوعات کی تصاویر دکھائیں","显示产品图像"
settings.stock_warnings,"የእቃ ማስጠንቀቂያዎች","تحذيرات المخزون","স্টক সতর্কতা","Lagerbestand Warnungen","Stock Warnings","Alertas de Stock","هشدارهای موجودی","Alertes Stock","स्टॉक चेतावनियां","Avvisi Scorte","在庫警告","재고 경고","ကုန်ပစ္စည်း သတိပေးချက်များ",,"Предупреждения о запасах","Digniinadda Kaydka","Stok Uyarları","Попередження про запаси","اسٹاک کی وارننگز","库存警告"
settings.terms,"የአጠቃቀም ውሎች","شروط الاستخدام","ব্যবহারের শর্তাদি","Nutzungsbedingungen","Terms of Service","Términos de Servicio","شرایط استفاده","Conditions d'Utilisation","सेवा की शर्तें","Termini di Servizio","利用規約","이용 약관","အသုံးပြုမှု စည်းမျဉ်းများ",,"Условия использования","Shuruudaha Isticmaalka","Kullanım Sözleşmesi","Умови використання","استعمال کی شرائط","服务条款"
settings.vibration,"ንዝረት","الاهتزاز","কম্পন","Vibration","Vibration","Vibración","لرزش","Vibration","कंपन","Vibrazione","振動","진동","တုန်ခါမှု",,"Вибрация","Gariirka","Titreşim","Вібрація","کمپن","振动"
settings.warning_time,"የማስጠንቀቂያ ጊዜ","وقت التحذير","সতর্কতার সময়","Warnzeit","Warning Time","Tiempo de Alerta","زمان هشدار","Temps d'Alerte","चेतावनी समय","Tempo Avviso","警告時間","경고 시간","သတိပေးချက် အချိန်",,"Время предупреждения","Waqtiga Digniin","Uyarı Süresi","Час попередження","انتباہی وقت","警告时间"
settings.weekly_reminder,"ሳምንታዊ ማስታወሻ","تذكير أسبوعي","সাপ্তাহিক চেক রিমাইন্ডার","Wöchentliche Erinnerung","Weekly Control Reminder","Recordatorio Semanal","یادآور بررسی هفتگی","Rappel Hebdomadaire","साप्ताहिक अनुस्मारक","Promemoria Settimanale","週次チェックリマインダー","주간 점검 리마인더","တစ်ပတ်လည် ပြန်စစ်ဆေးမှု အမှတ်ရ",,"Еженедельное напоминание","Xusuusin Usbuuceed","Haftalık Kontrol Hatırlatıcısı","Щотижневе нагадування","ہفتہ وار یاد دہانی","每周提醒"
status.current,"አሁኑ","حالي","বর্তমান","Aktuell","Current","Actual","فعلی","Actuel","वर्तमान","Attuale","現在","현재","လက်ရှိအခြေအနေ",,"Текущий","Xaadirka","Güncel","Поточний","موجودہ","当前"
status.expired,,,,,"Expired",,,,,,,,,,,,"Süresi Geçmiş",,,
status.expiry_approaching,"የማለቂያ ጊዜ እየቀረበ","تاريخ انتهاء الصلاحية يقترب","মেয়াদ শেষ হওয়ার কাছাকাছি","Ablaufdatum naht","Expiry Date Approaching","Fecha de Vencimiento Próxima","نزدیک به انقضا","Date d'Expiration Approche","समाप्ति तिथि नजदीक","Data di Scadenza Vicina","有効期限接近","만료일 접근","သက်တမ်းကုန်မည့် အချိန်နီး",,"Приближается срок годности","Dhamaadka Ku Soo Dhow","Son Kullanma Tarihi Yaklaşıyor","Наближається термін","مدت ختم ہونے والی","临近过期"
status.missing,"ጎድሎ እቃዎች","عناصر مفقودة","অনুপস্থিত আইটেম","Fehlende Artikel","Missing Items","Artículos Faltantes","موارد گمشده","Articles Manquants","गायब आइटम","Oggetti Mancanti","不足アイテム","누락된 항목","ပျောက်ဆုံးပစ္စည်းများ",,"Отсутствующие товары","Alaabada Luma","Eksik Ürünler","Відсутні товари","غائب آئٹمز","缺失物品"
total.items,"ጠቅላላ እቃዎች","إجمالي العناصر","মোট আইটেম","Gesamtartikel","Total Items","Artículos Totales","تعداد کل موارد","Articles Totals","कुल आइटम","Oggetti Totali","合計アイテム","총 항목","စုစုပေါင်းပစ္စည်းများ","Itens Totais","Всего товаров","Wadarta shayga","Toplam Ürün","Всього товарів","کل آئٹمز","总物品"
water,"ውሃ","ماء","জল","Wasser","Water","Agua","آب","Eau","पानी","Acqua","水","물","ရေ","Água","Вода","Biyo","Su","Вода","پانی","水"
